Depth[m],Density[kg_m3]
4.87302400996719,1022.24730106888
4.87302400996719,1022.2439223397
4.97247227327248,1022.24772830404
4.97247227327248,1022.24772830404
4.97247227327248,1022.24772830404
4.97247227327248,1022.24772830404
4.97247227327248,1022.24772830404
4.97247227327248,1022.24434956734
4.97247227327248,1022.24434956734
4.97247227327248,1022.24434956734
4.97247227327248,1022.24434956734
4.97247227327248,1022.24434956734
5.07192048832874,1022.24477679411
5.07192048832874,1022.24477679411
5.07192048832874,1022.25228177522
5.07192048832874,1022.24477679411
5.17136865513611,1022.24520402001
5.17136865513611,1022.24520402001
5.17136865513611,1022.25270899608
5.17136865513611,1022.25270899608
5.27081677369473,1022.24901000435
5.27081677369473,1022.25313621608
5.37026484400474,1022.24943723605
5.37026484400474,1022.24943723605
5.37026484400474,1022.2535634352
5.37026484400474,1022.2535634352
5.46971286606629,1022.24648569251
5.46971286606629,1022.25399065346
5.46971286606629,1022.25399065346
5.56916083987951,1022.24691291494
5.56916083987951,1022.25441787085
5.66860876544456,1022.2473401365
5.66860876544456,1022.2473401365
5.66860876544456,1022.25484508737
5.76805664276156,1022.2477673572
5.76805664276156,1022.2477673572
5.76805664276156,1022.25527230302
5.86750447183066,1022.24819457703
5.86750447183066,1022.25569951781
5.86750447183066,1022.24819457703
5.966952252652,1022.24449560268
5.966952252652,1022.248621796
5.966952252652,1022.248621796
5.966952252652,1022.25612673173
6.06639998522572,1022.24904901409
6.06639998522572,1022.25655394479
6.06639998522572,1022.25655394479
6.16584766955197,1022.24535006316
6.16584766955197,1022.24947623132
6.26529530563089,1022.23489373954
6.26529530563089,1022.24990344768
6.26529530563089,1022.25740836829
6.36474289346261,1022.23532096512
6.36474289346261,1022.24282579197
6.36474289346261,1022.25783557875
6.36474289346261,1022.25783557875
6.46419043304728,1022.24325301164
6.46419043304728,1022.24325301164
6.46419043304728,1022.2507578778
6.46419043304728,1022.2507578778
6.46419043304728,1022.24325301164
6.46419043304728,1022.2507578778
6.46419043304728,1022.25826278833
6.56363792438504,1022.24368023044
6.56363792438504,1022.24368023044
6.56363792438504,1022.24368023044
6.56363792438504,1022.24368023044
6.56363792438504,1022.24368023044
6.56363792438504,1022.25118509156
6.56363792438504,1022.25118509156
6.56363792438504,1022.25868999705
6.56363792438504,1022.25868999705
6.66308536747603,1022.2591172049
6.66308536747603,1022.2591172049
6.7625327623204,1022.25954441188
6.86198010891827,1022.259971618
6.96142740726981,1022.26039882325
6.96142740726981,1022.26039882325
7.06087465737514,1022.26082602763
7.16032185923441,1022.26125323115
7.25976901284776,1022.26168043379
7.25976901284776,1022.26168043379
7.35921611821533,1022.26210763558
7.45866317533726,1022.26253483649
7.5581101842137,1022.26296203653
7.65755714484478,1022.26338923571
7.75700405723065,1022.26381643403
7.85645092137144,1022.26424363147
7.95589773726731,1022.26467082805
8.05534450491838,1022.26509802376
8.25423789548674,1022.26595241258
8.35368451840429,1022.26637960569
8.45313109307762,1022.26680679793
8.55257761950688,1022.2672339893
8.65202409769219,1022.26766117981
8.7514705276337,1022.26808836945
8.95036324278589,1022.26894274613
8.95036324278589,1022.26894274613
9.14925576496458,1022.26979711934
9.24870195368922,1022.27022430465
9.3481480941709,1022.27065148909
9.44759418640977,1022.27107867266
9.54704023040598,1022.27150585536
9.64648622615966,1022.2719330372
9.84537807294,1022.27278739827
9.94482392396695,1022.2732145775
10.0442697267519,1022.27364175587
10.1437154812951,1022.27406893337
10.2431611875966,1022.27449611001
10.3426068456565,1022.27492328577
10.4420524554751,1022.27535046067
10.5414980170524,1022.27577763471
10.7403889954838,1022.27663198017
10.8398344123382,1022.2770591516
11.038725101325,1022.27791349187
11.1381703734577,1022.2783406607
11.2376155973502,1022.27876782866
11.3370607730026,1022.27919499576
11.4365059004149,1022.27962216199
11.5359509795875,1022.28004932735
