Depth,Density
3.67964108682781,1026.69747712725
4.47523047425289,1026.70125523623
5.66860876544456,1026.70836054748
6.7625327623204,1026.71153430946
7.85645092137144,1026.71645716014
8.65202409769219,1026.71983966591
9.64648622615966,1026.72451249141
10.6409435303886,1026.72880486401
11.6353960105203,1026.73346250635
12.9281770228988,1026.73967529344
13.7237305169896,1026.74074532537
14.9170549697576,1026.75312684431
15.7126007461298,1026.7555355444
16.707028625565,1026.75982755391
17.5025674563773,1026.76495874661
19.0936358576803,1026.77093143904
20.1874882215413,1026.77410392566
20.9830135481468,1026.77400257131
21.679095677045,1026.77544626414
22.5740549419864,1026.7811391712
23.8667669842286,1026.80101344522
24.7617167009979,1026.81053382291
25.457786002554,1026.8206963761
26.4521666203821,1026.82544471187
27.4465424163604,1026.84434012804
29.1369702037782,1026.85304492026
30.2307689940615,1026.85064422657
31.2251264682992,1026.86024943565
31.8217386386704,1026.91400049957
32.6172188326953,1026.92166216377
33.3132614714534,1026.92634243209
34.9042072039973,1026.9499944307
35.7991087552861,1026.94218823173
36.6940064019523,1026.94755827683
37.4894676988952,1026.96198129519
38.6826538599943,1026.95525200125
39.279244337668,1026.99567381663
40.4724200874165,1027.01032832127
41.5661584275598,1027.02299911075
42.8587507653717,1027.02881779189
43.7536176125145,1027.02038976898
44.2507641741335,1027.04060020544
45.2450536828983,1027.04822880376
47.3330459650421,1027.05022266442
48.4267477267523,1027.05841752855
49.5204436578016,1027.06286284199
50.5147076265219,1027.07652205766
51.210689537651,1027.09165906743
52.7020713970265,1027.09623003181
53.3980458880864,1027.11113668555
54.6905636795198,1027.1184551369
55.7842262204042,1027.1295200154
56.877882931892,1027.12924399928
58.5680682021783,1027.1225203428
59.959975030045,1027.1388480667
60.854767290818,1027.15318265296
61.8489763377883,1027.18296161507
62.3460790549564,1027.2274532018
64.1356388662122,1027.25801869769
64.632736044262,1027.26275087304
65.2292510685025,1027.26463398855
66.8199493231308,1027.26624472893
67.615293826937,1027.2887707152
68.311217739363,1027.28041782356
69.4048076911626,1027.30363372693
72.5861271465384,1027.37938589064
73.6796943209104,1027.39548806264
74.2761830511966,1027.42568230496
78.5509682267767,1027.56563175506
79.3462672748352,1027.58459746415
80.2409750209355,1027.58623220978
81.235090165328,1027.59456277731
82.0303788147044,1027.59574546183
83.5215367282647,1027.60303850215
84.117996861002,1027.61051768249
85.4103212037681,1027.61413098357
86.1061847881107,1027.61971923503
87.1996799411362,1027.61408894474
88.9890230836573,1027.65266714014
90.6789439552147,1027.66507276355
91.4741960231745,1027.67672474765
92.2694450110588,1027.68647071654
93.3629073403465,1027.69305516784
94.3569589503628,1027.69808727675
95.1521967735785,1027.7020445283
96.345047733909,1027.71230158059
97.4384883604516,1027.71497712345
98.4325202413066,1027.71451394643
99.3271448201276,1027.72077092789
100.321167559004,1027.73338559261
101.513988494669,1027.74775170568
102.209797507681,1027.75716871995
102.905604163255,1027.76074048965
104.098410088303,1027.766602959
105.291209085758,1027.77782785604
106.384602081271,1027.78622693883
107.08039459324,1027.79230896257
108.074379807222,1027.80912572534
109.167757986753,1027.80434178502
110.559321797582,1027.80577233486
111.553290176257,1027.81411652808
112.447857604707,1027.82333846517
112.845441877949,1027.8397848088
114.435771275668,1027.82305720063
115.628510244198,1027.8368245198
116.523059925895,1027.85837797698
117.616393135784,1027.86737533361
117.91457391042,1027.88397866458
119.206685599336,1027.88271121755
120.300004527094,1027.88707370244
121.592101213152,1027.89485404475
122.685407446632,1027.90033303301
123.281753849067,1027.90606280161
124.971392589549,1027.91397637471
126.661017435292,1027.92138775484
127.754296696392,1027.92748092069
129.04634650532,1027.9365445788
130.735937843067,1027.94093679616
132.226742192367,1027.94598660438
133.51876387996,1027.95794951456
134.015693135253,1027.96277745717
135.506473691321,1027.9676572757
137.096627697993,1027.97611635302
138.388618768795,1027.98679362758
139.283069367577,1027.99622460638
140.07813329852,1028.00280568497
141.270723428083,1028.00415857728
142.66206983314,1028.00227605617
144.15278767262,1028.01189500251
144.749071781141,1028.01906979469
146.438534028145,1028.02266903604
147.929224479189,1028.02910589669
148.923012107418,1028.03891965946
150.016172949308,1028.05539342801
150.612440049214,1028.05453030569
152.301854106768,1028.06103936691
153.196244163577,1028.06326389795
154.190006329692,1028.06067980103
154.985012603893,1028.07020108562
155.680640571917,1028.07765803211
156.873140183975,1028.08877609926
157.76751035384,1028.09284909359
159.456865615212,1028.10037652468
160.848088937367,1028.10749400206
161.742441816415,1028.11140077965
163.729878731182,1028.11888656647
164.822960846176,1028.12464598883
165.717296436434,1028.12966627393
166.710998085844,1028.13904935303
167.903433726566,1028.1411845636
168.797755919405,1028.14592045765
169.791442683208,1028.15267284489
170.685756665326,1028.15551256577
171.778801806393,1028.16707780258
172.971208061853,1028.16975806193
173.766141724622,1028.17276135434
174.859170493943,1028.17868602413
176.250289617153,1028.18333730162
176.647750495549,1028.18704286812
177.840128522246,1028.192969474
178.933135640896,1028.19766152124
179.429955138362,1028.1993073556
181.019769466079,1028.20704336421
181.5165839235,1028.2108694535
182.410846922956,1028.21527269788
183.60319154125,1028.22025099086
185.391695509939,1028.22509964676
186.484662502515,1028.23040743207
187.577623688111,1028.23995710606
189.167375046816,1028.24522772651
190.558397408228,1028.25156058474
192.148125733269,1028.26147576868
192.545555895164,1028.26484910766
193.539127941111,1028.26238156705
194.333982123186,1028.26637897298
195.327545532546,1028.26696626578
196.619170791864,1028.2801431887
197.712078139816,1028.28578147572
199.202396986345,1028.29253780925
200.792058525204,1028.30093379687
202.282355064536,1028.311178545
