Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.3,26.94,26.5,26.352728775584872,1022.3256491592499
34.3,26.94,26.7,26.551604416960856,1022.3265084683682
34.3,26.94,27.1,26.949355121093678,1022.3282270761225
34.3,26.94,27.3,27.14823018385277,1022.3290863747586
34.3,26.94,27.6,27.44654241636045,1022.3303753161614
34.31,26.94,28.0,27.844291384665482,1022.3396225311465
34.31,26.94,28.2,28.04316557951832,1022.340481803622
34.31,26.94,28.5,28.34147651017614,1022.3417707057843
34.31,26.94,28.8,28.63978700689165,1022.3430596000854
34.31,26.94,29.1,28.93809706966864,1022.3443484865257
34.31,26.94,29.5,29.33584314502911,1022.3460669895513
34.31,26.94,29.7,29.534715893422387,1022.3469262358236
34.32,26.94,30.0,29.833024654406753,1022.3557436762719
34.32,26.94,30.3,30.131332981467885,1022.3570325156144
34.32,26.94,30.6,30.429640874609575,1022.3583213470963
34.32,26.94,30.9,30.727948333835652,1022.3596101707179
34.32,26.94,31.3,31.125690937830502,1022.3613285899863
34.32,26.94,31.5,31.324561950556216,1022.3621877943806
34.32,26.94,31.9,31.722303397469886,1022.3639061926887
34.33,26.94,32.1,31.921173831660095,1022.3722938979121
34.33,26.94,32.4,32.21947912136531,1022.3735826665803
34.33,26.94,32.6,32.41834907345037,1022.374441841326
34.33,26.94,33.0,32.816088399101375,1022.3761601803378
34.33,26.94,33.2,33.01495777266959,1022.377019344604
34.33,26.94,33.6,33.41269594129705,1022.3787376626574
34.33,26.94,33.9,33.71099906157677,1022.3800263920281
34.33,26.94,34.1,33.909867567388766,1022.3808855405755
34.33,26.94,34.4,34.20816996454785,1022.3821742568475
34.34,26.94,34.8,34.60590581918926,1022.3914209467341
34.34,26.94,35.0,34.804773457267935,1022.3922800691294
34.34,26.94,35.3,35.10307455283657,1022.3935687461735
34.34,26.94,35.7,35.50080867204185,1022.3952869700074
34.34,26.94,35.9,35.699675442410076,1022.3961460766855
34.34,26.94,36.3,36.09740840468336,1022.3978642795632
34.34,26.94,36.6,36.395707620237516,1022.3991529225535
34.34,26.94,36.9,36.69400640195232,1022.4004415576853
34.34,26.94,37.3,37.09173743605081,1022.4021597256371
34.34,26.94,37.4,37.19117007406663,1022.4025892654423
34.34,26.94,37.9,37.68833254109997,1022.4047369513712
34.34,26.94,38.1,37.887197190494575,1022.4055960196308
34.34,26.94,38.4,38.18549380306997,1022.4068846154722
34.34,26.94,38.7,38.483789981828906,1022.4081732034556
34.34,26.94,39.1,38.88151754535517,1022.4098913085437
34.35,26.94,39.4,39.17981271189058,1022.4187080953069
34.35,26.94,39.7,39.478107444622246,1022.4199966414502
34.35,26.94,40.2,39.975264368510445,1022.4221442008951
34.35,26.94,40.4,40.17412680066974,1022.4230032185618
34.35,26.94,40.7,40.47242008741652,1022.4242917385144
34.35,26.94,41.0,40.770712940376086,1022.4255802506098
34.35,26.94,41.3,41.06900535955228,1022.4268687548483
34.35,26.94,41.6,41.36729734494889,1022.4281572512298
34.35,26.94,41.9,41.66558889656973,1022.4294457397546
34.35,26.94,42.2,41.96388001441862,1022.4307342204226
34.35,26.94,42.6,42.36160083013403,1022.4324521824251
34.35,26.94,42.9,42.6598909358632,1022.433740644761
34.35,26.94,43.3,43.057610402099485,1022.4354585823211
34.35,26.94,43.6,43.3558994957297,1022.4367470263253
34.35,26.94,43.8,43.55475865051052,1022.4376059846302
34.35,26.94,44.3,44.05190569406655,1022.4397533651165
34.36,26.94,44.6,44.35019334187712,1022.4485697721879
34.36,26.94,44.9,44.648480555950044,1022.4498581665046
34.36,26.94,45.2,44.94676733628916,1022.4511465529653
34.36,26.94,45.6,45.344482368717514,1022.4528643893599
34.36,26.94,45.9,45.642768137025875,1022.454152757491
34.36,26.94,46.3,46.04048182009373,1022.4558705694461
34.36,26.94,46.6,46.33876657639212,1022.457158919248
34.36,26.94,46.9,46.63705089897828,1022.4584472611944
34.36,26.94,47.2,46.93533478785604,1022.4597355952856
34.36,26.94,47.6,47.33304596504214,1022.4614533618548
34.36,26.94,48.1,47.830183852277074,1022.4636005504287
34.36,26.94,48.4,48.12846600635937,1022.4648888531
34.36,26.94,48.7,48.42674772675233,1022.4661771479164
34.36,26.94,49.1,48.824456012655006,1022.4678948621198
34.37,26.94,49.5,49.22216352757024,1022.4771403394727
34.37,26.94,50.2,49.91814982351053,1022.4801462447969
34.37,26.94,50.5,50.216428941847546,1022.4814344768455
34.37,26.94,50.8,50.514707626521904,1022.48272270104
34.37,26.94,51.2,50.91241186484131,1022.484440321082
34.37,26.94,51.5,51.21068953765097,1022.4857285269507
34.37,26.94,51.9,51.6083924268313,1022.4874461225587
34.37,26.94,52.3,52.00609454508743,1022.4891637042045
34.37,26.94,52.5,52.20494531512175,1022.4900224897917
34.37,26.94,53.0,52.70207139702651,1022.492169438489
34.37,26.94,53.1,52.80149646886327,1022.4925988256106
34.37,26.94,53.6,53.29862110533387,1022.4947457481301
34.37,26.94,54.0,53.696319947263014,1022.496463270439
34.38,26.94,54.3,53.99459357282149,1022.5052789732646
34.38,26.94,54.7,54.39229106572224,1022.5069964502914
34.38,26.94,55.0,54.69056367951982,1022.5082845489
34.38,26.94,55.4,55.08825982341984,1022.5100020014961
34.38,26.94,55.8,55.48595519647474,1022.5117194401322
34.38,26.94,56.1,55.78422622040423,1022.513007509948
34.38,26.94,56.4,56.08249681074225,1022.5142955719115
34.38,26.94,56.8,56.480190256723844,1022.5160129756482
34.38,26.94,57.2,56.87788293189197,1022.5177303654253
34.38,26.94,57.6,57.27557483625561,1022.5194477412433
34.39,26.94,57.9,57.57384325869333,1022.528263189953
34.39,26.94,58.3,57.971533814170904,1022.5299805204958
34.39,26.94,58.7,58.36922359886884,1022.5316978370801
34.39,26.94,59.0,58.6674904315736,1022.5329858153583
34.39,26.94,59.4,59.065178867428926,1022.5347031075158
34.39,26.94,59.7,59.36344468851212,1022.5359910674741
34.4,26.94,60.1,59.7611317755525,1022.5452356899636
34.4,26.94,60.5,60.158818091853924,1022.546952922893
34.4,26.94,60.8,60.457082323287985,1022.5482408384306
34.4,26.94,61.2,60.854767290817946,1022.5499580469351
34.4,26.94,61.6,61.252451487633785,1022.5516752414829
34.4,26.94,62.0,61.65013491374453,1022.5533924220742
34.4,26.94,62.4,62.04781756915922,1022.5551095887092
34.41,26.94,62.6,62.246658607858365,1022.5634954346962
34.41,26.94,63.2,62.84318056793654,1022.5660711167511
34.41,26.94,63.5,63.14144089772179,1022.5673589460037
34.41,26.94,63.8,63.43970079400956,1022.5686467674062
34.41,26.94,64.2,63.83737998140376,1022.5703638503991
34.41,26.94,64.6,64.23505839815158,1022.5720809194369
34.41,26.94,65.0,64.63273604426205,1022.5737979745198
34.41,26.94,65.3,64.93099377311957,1022.5750857566744
34.41,26.94,65.7,65.32867007063645,1022.5768027873371
34.41,26.94,66.2,65.82576435885974,1022.5789490560423
34.41,26.94,66.5,66.12402035384166,1022.5802368067999
34.41,26.94,66.9,66.52169433954812,1022.5819537956004
34.42,26.94,67.3,66.91936755466914,1022.591197836911
34.42,26.94,67.6,67.21762196031864,1022.5924855432608
34.42,26.94,68.1,67.71471167319108,1022.5946317030694
34.42,26.94,68.3,67.91354722121979,1022.5954901608883
34.43,26.94,68.8,68.41063524850085,1022.6051633219446
34.43,26.95,69.2,68.80830480346451,1022.6036929095302
34.43,26.95,69.6,69.2059735878947,1022.6054097274227
34.43,26.95,69.9,69.50422467056018,1022.6066973316865
34.44,26.95,70.3,69.90189210657853,1022.6159409997297
34.44,26.95,70.8,70.39897531807472,1022.618086945919
34.44,26.95,71.1,70.69722466709828,1022.6193745031696
34.44,26.95,71.5,71.09488979161782,1022.6210912339641
34.45,26.95,71.9,71.49255414565579,1022.6303347855188
34.45,26.95,72.3,71.89021772922119,1022.6320514675836
34.45,26.95,72.7,72.28788054232315,1022.6337681356987
34.46,26.95,73.1,72.6855425849706,1022.6430116055668
34.46,26.95,73.4,72.98378861135096,1022.6442990714163
34.46,26.95,73.8,73.38144930572486,1022.6460156803438
34.46,26.95,74.3,73.87852409027664,1022.648161421888
34.47,26.95,74.7,74.27618305119664,1022.6574047753143
34.47,26.95,75.1,74.67384124170728,1022.659121318084
34.47,26.95,75.5,75.07149866181764,1022.6608378469061
34.48,26.95,75.9,75.46915531153678,1022.6700811186865
34.48,26.95,76.2,75.76739729326229,1022.6713684800716
34.48,26.95,76.7,76.26446629983738,1022.6735140649466
34.48,26.95,77.0,76.5627071260082,1022.6748014054119
34.43,26.95,77.4,76.96036088684056,1022.6388848880266
34.37,26.95,78.0,77.55684008368874,1022.5963017516544
34.32,26.95,78.3,77.85507903214092,1022.5599588948272
34.32,26.95,78.7,78.25273028937411,1022.5616756245022
34.29,26.95,79.0,78.55096822677666,1022.5403855916336
34.26,26.95,79.5,79.04803049289251,1022.5199544466221
34.22,26.95,79.9,79.44567943919573,1022.4915691462013
34.35,26.95,80.4,79.9427395388528,1022.5915493127255
34.34,26.95,80.8,80.34038675201191,1022.5857399698504
34.35,26.95,81.2,80.73803319489936,1022.5949824866651
34.35,26.95,81.7,81.235090165328,1022.5971281920449
34.35,26.95,82.1,81.63273487513732,1022.5988447406573
34.35,26.95,82.7,82.22920049564989,1022.601419537424
34.35,26.95,83.1,82.62684327987044,1022.6031360511674
34.35,26.94,83.7,83.22330601204217,1022.6088983658082
34.35,26.94,84.1,83.62094687073039,1022.6106148797451
34.35,26.94,84.6,84.117996861002,1022.6127605025529
34.35,26.94,85.2,84.71445526082114,1022.6153352211568
