Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.69,27.96,38.2,37.986629442888436,1022.3405213155534
34.69,27.94,38.5,38.28492591085791,1022.3483329289554
34.71,27.89,38.8,38.58322194501223,1022.380957544137
34.74,27.83,39.3,39.08038103791271,1022.4251976052049
34.75,27.79,39.9,39.67697035877651,1022.4483020537178
34.72,27.81,40.5,40.27355794445082,1022.4218099414587
34.7,27.8,41.0,40.770712940376086,1022.4121670322248
34.72,27.7,41.4,41.1684360695487,1022.4614078223372
34.77,27.59,41.8,41.56615842755985,1022.5363829546458
34.81,27.55,42.2,41.96388001441862,1022.581132260574
34.81,27.59,42.7,42.461030913572806,1022.5703297263202
34.77,27.61,43.2,42.95818060783313,1022.5359082394108
34.73,27.54,43.7,43.45532909721729,1022.5306174547968
34.72,27.48,44.3,44.05190569406655,1022.5450543382004
34.74,27.48,44.8,44.54905153278524,1022.5622444843813
34.75,27.48,45.4,45.14562494888721,1022.5723403480076
34.75,27.45,45.9,45.642768137025875,1022.5841689949457
34.75,27.42,46.3,46.04048182009373,1022.5955623035416
34.74,27.4,46.7,46.438194732110894,1022.5962020269601
34.75,27.4,47.1,46.83590687308638,1022.6054413822494
34.76,27.41,47.5,47.23361824302922,1022.6114567266586
34.76,27.41,47.9,47.631328841948466,1022.6131720257681
34.74,27.4,48.4,48.12846600635937,1022.6034923912941
34.73,27.41,48.9,48.62560196607766,1022.5948889964789
34.74,27.42,49.4,49.122736721121015,1022.6013321355466
34.74,27.4,49.8,49.520443657801586,1022.6094960317239
34.74,27.39,50.2,49.91814982351053,1022.6144345646727
34.74,27.37,50.6,50.31585521825688,1022.6225941768367
34.75,27.35,51.0,50.71355984204967,1022.638275270131
34.76,27.36,51.5,51.21068953765097,1022.6447233009355
34.75,27.37,52.0,51.707818028669124,1022.6361219695234
34.75,27.34,52.5,52.20494531512175,1022.6479277677037
34.78,27.29,53.0,52.70207139702651,1022.6887352116917
34.82,27.28,53.4,53.099771395287696,1022.7237677227992
34.8,27.31,53.7,53.39804588808635,1022.700353278095
34.76,27.34,54.0,53.696319947263014,1022.661884753898
34.76,27.29,54.4,54.09401801831537,1022.6796892851581
34.76,27.2,54.8,54.491715318500034,1022.7103183981562
34.76,27.14,55.2,54.88941184782603,1022.7312763429718
34.76,27.11,55.7,55.38653142547725,1022.7430323626838
34.75,27.11,56.2,55.88364979869356,1022.7376503692286
34.75,27.13,56.7,56.380766967492576,1022.7333888663347
34.79,27.14,57.2,56.87788293189197,1022.7624361437898
34.79,27.15,57.7,57.374997691909385,1022.7613751909371
34.75,27.16,58.1,57.772688632780145,1022.7297788277942
34.75,27.16,58.5,58.17037880286676,1022.7314946363522
34.77,27.09,59.0,58.6674904315736,1022.7711206973808
34.75,27.0,59.5,59.16460085596197,1022.7869923202901
34.75,26.96,59.9,59.56228832837526,1022.8014807286899
34.77,26.94,60.3,59.95997503004502,1022.8246366339521
34.74,26.91,60.7,60.35766096098034,1022.8133328948169
34.72,26.86,61.1,60.755346121190264,1022.8159192449763
34.73,26.83,61.5,61.153030510683784,1022.8347139773012
34.72,26.83,61.9,61.55071412946996,1022.8289008118842
34.72,26.84,62.2,61.84897633778832,1022.8270065564337
34.73,26.88,62.5,62.147238112592696,1022.8230882456627
34.75,26.88,62.8,62.445499453886875,1022.8394346558605
34.77,26.83,63.1,62.7437603616747,1022.8717018035179
34.76,26.79,63.5,63.14144089772179,1022.8786109805335
34.75,26.79,63.9,63.539120663106694,1022.8727973049281
34.76,26.8,64.3,63.93679965783845,1022.8788651679081
34.77,26.81,64.7,64.3344778819261,1022.8849319473792
34.77,26.82,65.1,64.73215533537864,1022.8834674209655
34.78,26.81,65.5,65.12983201820514,1022.8958957746005
34.77,26.79,65.8,65.4280890246071,1022.8960134269882
34.76,26.78,66.2,65.82576435885974,1022.8933787205073
34.76,26.77,66.6,66.22343892251116,1022.898273827195
34.76,26.76,67.0,66.62111271557039,1022.9031682354062
34.76,26.77,67.3,66.91936755466914,1022.9012783122531
34.76,26.77,67.6,67.21762196031864,1022.902565935629
34.76,26.75,68.0,67.61529382693695,1022.9106372847413
34.77,26.71,68.4,68.01296492299467,1022.9325856595783
34.78,26.66,68.9,68.51005270947978,1022.9581228882776
34.78,26.61,69.4,69.00713929199574,1022.9761102295528
34.78,26.56,69.8,69.40480769116257,1022.9936497140437
34.79,26.54,70.2,69.8024753198095,1023.0092242703837
34.8,26.51,70.6,70.2001421779455,1023.0279558830281
34.8,26.46,71.0,70.59780826557963,1023.0454595456384
34.79,26.4,71.5,71.09488979161782,1023.058990098644
34.77,26.37,72.0,71.59197011377857,1023.0555154194494
34.77,26.38,72.4,71.9896335047273,1023.0540848614495
34.79,26.41,72.7,72.28788054232315,1023.0609926925489
34.79,26.42,73.0,72.58612714653837,1023.059129121228
34.78,26.41,73.3,72.88437331737677,1023.0560345699525
34.77,26.39,73.6,73.18261905484218,1023.0560893888046
34.79,26.37,73.9,73.48086435893838,1023.0787468484328
34.8,26.34,74.2,73.77910922966915,1023.0970136719561
34.8,26.33,74.6,74.17676838319284,1023.1018778786449
34.8,26.33,74.9,74.47501224275256,1023.1031664273063
34.8,26.32,75.3,74.8726700480619,1023.1080299495359
34.78,26.29,75.7,75.27032708297554,1023.1041073797517
34.76,26.26,76.1,75.66798334750243,1023.1001769338634
34.77,26.24,76.4,75.96622504033674,1023.1152812178967
34.79,26.21,76.7,76.26446629983738,1023.1410572875074
34.8,26.19,77.1,76.66212063843695,1023.1565852470757
34.8,26.18,77.4,76.96036088684056,1023.1610091287241
34.79,26.18,77.7,77.25860070192321,1023.1547604173896
34.78,26.17,78.0,77.55684008368874,1023.1516458338193
34.79,26.16,78.4,77.95449191866713,1023.1640355023757
34.81,26.15,78.7,78.25273028937411,1023.183533038462
34.8,26.16,79.1,78.65038077628829,1023.1745807609161
34.8,26.17,79.4,78.94861813595752,1023.172735977072
34.81,26.16,79.8,79.34626727483516,1023.1851259467691
34.81,26.14,80.2,79.74391564341859,1023.1931098936004
34.81,26.12,80.5,80.04215141435606,1023.2006612763731
34.81,26.11,80.8,80.34038675201191,1023.2050803520593
34.8,26.11,81.1,80.63862165638996,1023.1988309847094
34.81,26.12,81.4,80.93685612749407,1023.2045281058727
34.8,26.11,81.7,81.235090165328,1023.2014089338583
34.77,26.09,82.1,81.63273487513732,1023.1867701525331
34.77,26.07,82.4,81.93096790202236,1023.1943134125156
34.8,26.07,82.7,82.22920049564989,1023.2182185213628
34.8,26.07,83.1,82.62684327987044,1023.219937248226
34.78,26.07,83.4,82.92507486257871,1023.206148976092
34.79,26.08,83.8,83.3227162989207,1023.2122792304456
34.81,26.09,84.1,83.62094687073039,1023.2255171649305
34.81,26.1,84.4,83.9191770093042,1023.2236771730949
34.8,26.1,84.7,84.21740671464589,1023.2174278025767
34.78,26.1,84.9,84.41622627752444,1023.203210681187
34.77,26.1,85.1,84.6150456478582,1023.196531851601
34.79,26.09,85.3,84.81386482564831,1023.2155961810741
34.8,26.06,85.6,85.11209323131662,1023.2338056048397
34.8,26.02,85.9,85.41032120376808,1023.2475936134555
34.78,25.99,86.1,85.60913961139491,1023.2427402864378
34.77,25.98,86.2,85.70854874300649,1023.2387507849498
34.78,25.97,86.3,85.80795782648374,1023.2498396860813
34.79,25.96,86.4,85.90736686182676,1023.2609281269657
34.79,25.95,86.4,85.90736686182676,1023.2640463178111
34.8,25.95,86.4,85.90736686182676,1023.271586346576
