Depth[m],Density[kg_m3]
1.98900338514962,1026.91197577525
2.9834978396627,1026.91549806578
3.97798746898985,1026.92095482653
4.97247227327248,1026.92447690761
5.966952252652,1026.92896618836
6.96142740726981,1026.93423282142
7.95589773726731,1026.93794446955
8.95036324278589,1026.94340081952
9.94482392396695,1026.94788973781
10.9392797809519,1026.95160114117
11.933730813882,1026.95705725477
12.9281770228988,1026.96173587934
13.9226184081435,1026.9660344731
14.9170549697576,1026.96955553271
15.9114867078824,1026.97482128574
16.9059136226593,1026.97930955012
17.9003357142296,1026.98398778878
18.8947529827347,1026.98847588418
19.8891654283159,1026.99199642039
20.8835730511146,1026.99745179479
21.877975851272,1027.00193961
22.8723738289296,1027.00642733182
23.8667669842286,1027.01129528036
24.8611553173104,1027.01576610145
25.8555388283162,1027.01987334756
26.8499175173875,1027.02379018316
27.8442913846655,1027.02886454015
28.8386604302915,1027.03736203213
29.8330246544068,1027.04086501168
30.8273840571526,1027.04497213611
31.8217386386704,1027.05136020112
32.8160883991014,1027.05584749532
33.8104333385868,1027.06071482137
34.8047734572679,1027.06672221707
35.7991087552861,1027.0713994151
36.7934392327825,1027.07645654334
37.7877648898985,1027.08185816895
38.7820857267752,1027.08672516579
39.776401743554,1027.09026275592
40.7707129403761,1027.09493969861
41.7650193173827,1027.10018640067
42.7593208747151,1027.10579490936
43.7536176125145,1027.11985010893
44.7479095309222,1027.12545207749
45.7421966300793,1027.12878466899
46.7364789101272,1027.13386117661
47.7307563712069,1027.13908469627
48.7250290134598,1027.14563063915
49.719296837027,1027.1512305677
50.7135598420497,1027.15645216742
51.7078180286691,1027.16169580861
52.7020713970265,1027.16637301651
53.696319947263,1027.1723940416
54.6905636795198,1027.1758936085
55.6848025939381,1027.18017063612
56.679036690659,1027.18600265314
57.6732659698238,1027.19011333596
58.6674904315736,1027.19670021638
59.6617100760496,1027.19925578224
60.6559249033928,1027.20527629945
61.6501349137445,1027.20957549648
62.6443401072459,1027.21328583705
63.638540484038,1027.21892867182
64.632736044262,1027.2230387497
65.6269267880591,1027.22752631396
66.6211127155704,1027.23295793038
67.615293826937,1027.23723433407
68.6094701222999,1027.24287685202
69.6036416018005,1027.2473418959
70.5978082655796,1027.25145165915
71.5919701137786,1027.25537236956
72.5861271465384,1027.26061485501
73.5802793640002,1027.2649130574
74.574426766305,1027.2701774528
75.568569353594,1027.27350904481
76.5627071260082,1027.2787514231
77.5568400836887,1027.28437142155
78.5509682267767,1027.2900133045
79.5450915554131,1027.29353364515
80.539210069739,1027.29820908528
81.5333237698956,1027.30231772633
82.5274326560238,1027.30833718521
83.5215367282647,1027.31280169538
84.5156359867593,1027.31747689128
85.5097304316488,1027.32236268557
86.5038200630741,1027.32724825449
87.4979048811763,1027.3326790264
88.4919848860965,1027.3373322355
89.4860600779755,1027.34261719215
90.4801304569546,1027.34849003845
91.4741960231745,1027.35698733441
92.4682567767765,1027.36352881446
93.4623127179015,1027.37209656303
94.4563638466906,1027.39053056404
95.4504101632846,1027.40391988036
96.4444516678246,1027.41043451993
97.4384883604516,1027.41529750877
98.4325202413066,1027.42115557898
99.4265473105306,1027.42642254645
100.420569568264,1027.4322803111
101.414587014649,1027.44208655416
102.408599649826,1027.45148767575
103.402607473935,1027.45694091143
104.396610487119,1027.46279750506
105.390608689517,1027.46927326383
106.384602081271,1027.47617941217
107.378590662521,1027.48935266452
108.372574433409,1027.49883285486
109.366553394076,1027.50766464038
110.360527544662,1027.52124170731
111.354496885308,1027.53393123578
112.348461416156,1027.54974010579
113.342421137346,1027.56310213688
114.336376049019,1027.56961238292
115.330326151316,1027.57770862858
116.324271444378,1027.58614441041
117.318211928346,1027.59951772893
118.312147603361,1027.60437909763
119.306078469563,1027.61094860421
120.300004527094,1027.61903961606
121.293925776094,1027.6250161933
122.287842216705,1027.6291337206
123.281753849067,1027.63321675799
124.275660673321,1027.63677615536
125.269562689607,1027.64030114658
126.263459898068,1027.64538194861
127.257352298843,1027.65195076936
128.251239892073,1027.6566255341
129.2451226779,1027.66167221116
130.239000656464,1027.66634685906
131.232873827906,1027.67217137881
132.226742192367,1027.67606794466
133.220605749987,1027.68167225458
134.214464500908,1027.68690450873
135.20831844527,1027.69213665807
136.202167583214,1027.70512475507
137.196011914882,1027.72273751629
138.189851440412,1027.73074343623
139.183686159948,1027.73915497292
140.177516073629,1027.74604725524
141.171341181595,1027.7586347802
142.165161483989,1027.76892278918
143.15897698095,1027.78329643629
144.15278767262,1027.79183165984
145.146593559139,1027.8028370966
146.140394640648,1027.81676637775
147.134190917288,1027.82510153164
148.127982389199,1027.83444222145
149.121769056523,1027.84898666644
150.115550919399,1027.85548625824
151.10932797797,1027.8605273098
152.103100232375,1027.86593274074
153.096867682755,1027.87115582624
154.090630329251,1027.87747166981
155.084388172004,1027.8823302157
156.078141211154,1027.88791706877
157.071889446842,1027.90293184162
158.065632879209,1027.91330909039
159.059371508396,1027.91909146776
160.053105334543,1027.92479986424
161.046834357791,1027.92942184871
162.040558578281,1027.9351844452
163.034277996153,1027.94132122992
164.027992611548,1027.94817554306
165.021702424607,1027.95298302297
166.015407435471,1027.95754412339
167.009107644279,1027.96378417531
168.002803051173,1027.97032298017
168.996493656294,1027.97470124745
169.990179459781,1027.97973849886
170.983860461777,1027.98393642545
171.977536662421,1027.99124838965
172.971208061853,1027.99514686139
173.964874660216,1028.00078325345
174.958536457649,1028.00599950938
175.952193454293,1028.01217439656
176.945845650288,1028.01751246858
177.939493045776,1028.02207089953
178.933135640896,1028.03135928421
