Salinity[psu],Temperature[celsius],Pressure[dbar],Density[kg_m3],Depth[m]
31.8389,14.8977,30.1795,1023.6933100056069,30.01151252224059
31.8334,14.7782,30.5682,1023.7162474536151,30.398020258496402
31.8285,14.8535,31.2716,1023.6995948001351,31.097451238387013
31.8048,14.7854,31.8401,1023.6983624434337,31.662741664902487
31.8261,14.5092,32.5494,1023.7762378848804,32.36803499379541
31.8749,14.3359,33.3239,1023.8535387318407,33.1381572528604
31.8357,14.3008,34.0215,1023.8337326499799,33.831811701847364
31.9401,13.8435,34.6307,1024.0111126853724,34.4375642128549
31.933,13.8751,34.9338,1024.0005455037244,34.73894829041361
31.9169,14.0031,34.9715,1023.962098496145,34.77643483062285
31.8988,14.2133,34.9933,1023.9048911949608,34.798111394513946
31.9067,13.9884,34.8207,1023.9565687911153,34.62648862867641
31.9293,13.898,34.5364,1023.9912380712593,34.34379797764521
31.9221,13.9362,34.1056,1023.9759468366352,33.915435882776265
31.9246,13.9687,33.5951,1023.9689403549417,33.407823653397955
31.9196,13.9377,33.2035,1023.9696767741548,33.01843798499017
31.9309,13.9266,33.1005,1023.9802075757598,32.91602028342346
31.9247,13.9035,32.9888,1023.9796433041215,32.80495170847974
31.9292,13.9314,32.9656,1023.9773107252754,32.78188284741118
31.9324,13.9218,33.2804,1023.9831511205169,33.09490320650217
31.9308,13.9209,33.5385,1023.9832543597472,33.35154374805054
31.9436,13.8265,33.8214,1024.013656345009,33.63284368600967
31.9377,13.8236,33.9693,1024.0103533861056,33.77990702067288
31.9467,13.8209,33.9997,1024.017986881411,33.810135035827855
31.9526,13.7487,33.8257,1024.0364319961143,33.63711936254236
31.9533,13.7115,33.6546,1024.0437451188818,33.46698714148482
31.975,13.6007,33.5313,1024.0823287096232,33.34438446569768
31.9702,13.615,33.4675,1024.0754540052892,33.28094525837434
31.9719,13.6271,33.3935,1024.0739962065136,33.20736370805907
31.9672,13.6462,33.7488,1024.0681026436528,33.56065434318677
31.9666,13.6794,34.0752,1024.0623929780934,33.88520788314118
31.9659,13.6913,34.3638,1024.060737282331,34.172174831642074
31.9832,13.5024,35.2181,1024.115972919282,35.02163839680039
32.0081,13.4277,35.9984,1024.1536630210446,35.79751782265954
31.9814,13.4548,36.8584,1024.1314633652894,36.65264233012955
32.0159,13.3475,37.7519,1024.1835471809566,37.541073143972596
32.0051,13.4112,38.348,1024.1651662425588,38.13378908797087
31.9736,13.2852,38.7033,1024.1674995643502,38.48707123738303
32.0112,13.1942,38.9325,1024.2156203822487,38.714969221985136
32.0967,12.6284,38.9615,1024.3922366222532,38.743804463770964
32.1209,12.5251,39.005,1024.4309899387135,38.78705731884899
32.074,12.8661,39.0543,1024.3290965844108,38.836077210244675
32.109,12.4677,39.2994,1024.434061566273,39.07978444772338
32.1022,12.5391,39.4749,1024.4159379307166,39.25428700412869
32.0867,12.6969,39.7273,1024.3747373617623,39.50525224376673
32.1725,12.1277,39.9506,1024.5505163643454,39.727282645498015
32.1681,12.1177,40.0348,1024.549358460244,39.81100385415127
32.1565,12.3005,40.1929,1024.506651070219,39.96820474862516
32.1088,12.5315,40.3466,1024.4264219709548,40.1210305501494
32.1433,12.3026,40.5468,1024.497615161334,40.32009170318346
32.1761,11.8463,41.1342,1024.6110220966193,40.90414913617533
32.1746,11.8865,41.6215,1024.6046178453782,41.388674920578005
32.1786,11.7463,41.8477,1024.634604999153,41.61358676728944
32.2292,11.4325,42.0348,1024.731933020726,41.799621092520994
32.24,11.4291,42.19,1024.741637516756,41.9539369841455
32.2412,11.2939,42.4351,1024.768019370482,42.197640517278764
32.2719,11.0789,42.6295,1024.8311002585544,42.390932709760236
32.2635,10.9445,42.8558,1024.8493219337474,42.61594288753164
32.2549,11.0299,42.9863,1024.82816639128,42.745698975941515
32.2637,10.8974,42.9979,1024.858392914956,42.75723284649466
32.2694,10.8693,43.1647,1024.868506802714,42.92308187894792
32.2699,10.8205,43.3097,1024.8780861850678,43.067255089579135
32.2911,10.8299,43.4823,1024.8937203284247,43.23887079303374
32.2543,10.9581,43.6912,1024.8435501500062,43.44657929422033
32.2176,11.1078,43.8348,1024.7892015782413,43.58936012375251
32.2996,11.0353,44.0001,1024.8665548395916,43.75371704194733
32.3006,10.7429,44.0523,1024.9188607057774,43.80561919928192
32.2357,10.906,44.1176,1024.8401659617539,43.87054659217128
32.3021,10.6016,44.3134,1024.9456841350802,44.06522921825628
32.2997,10.6789,44.3235,1024.9304978885425,44.07527157546913
32.3029,10.5884,44.428,1024.9491018184995,44.1791751435169
32.2882,10.6716,44.4251,1024.923270518983,44.17629169592699
32.3047,10.5802,44.5846,1024.9526253688928,44.334881253184
32.2864,10.6065,44.8993,1024.9352680956415,44.647784552955386
32.3129,10.5272,45.2358,1024.9710764158037,44.98236286310873
32.2971,10.5617,45.6071,1024.9545230974963,45.351541803578414
32.2914,10.5733,45.8638,1024.949250355252,45.60677501066032
32.3004,10.513,46.2032,1024.9681613784182,45.9442351795109
32.3117,10.4722,46.6441,1024.9859524935327,46.382614399004
32.3162,10.3976,47.0531,1025.004055608473,46.78927516445905
32.3159,10.3833,47.5434,1025.008480291281,47.27676988030149
32.3102,10.4246,47.7334,1024.9978577199556,47.46568247118809
32.3153,10.4017,48.0539,1025.007190144351,47.7843477894906
32.3145,10.3966,48.4136,1025.009066329642,48.1419881204018
32.3344,10.3389,48.9096,1025.0366382962281,48.63514696471726
32.3322,10.355,49.2084,1025.0335410199289,48.932234825354406
32.3407,10.3315,49.5637,1025.0457685302702,49.28549837815488
32.3524,10.3061,49.8219,1025.0603671655913,49.54221809032389
32.3486,10.2964,50.0047,1025.0598798989065,49.723969884420804
32.3387,10.3276,50.3716,1025.0485341782594,50.088765532283304
32.3271,10.349,50.4731,1025.0363193641683,50.189683265269245
32.3499,10.3002,50.3571,1025.0618457404998,50.07434870923296
32.3774,10.1803,50.5689,1025.1045021701036,50.28493365145606
32.3717,10.183,50.6559,1025.0999989702852,50.37143448577371
32.355,10.2662,50.946,1025.0742499967698,50.659869762851365
32.3427,10.4146,50.9793,1025.0395862142718,50.692978646684345
32.3456,10.3451,50.8169,1025.0529537748046,50.531510646189034
32.3518,10.331,50.534,1025.0588991917634,50.25023388123304
32.3518,10.3243,50.3629,1025.0592620411096,50.08011543857468
32.3492,10.3282,50.1265,1025.0555024202847,49.84507137337856
32.351,10.3269,49.9379,1025.056270987395,49.65755294550954
32.349,10.3312,49.7944,1025.053331847364,49.51487576600933
32.346,10.3385,49.6696,1025.0491883163002,49.39079128114465
32.3391,10.3797,49.7595,1025.0372086607174,49.48017586554143
32.3373,10.3864,49.5753,1025.0338300158805,49.29703188102343
32.3358,10.394,49.6754,1025.031819354304,49.39655802970029
32.3332,10.3965,49.7915,1025.0298936573786,49.51199239341465
32.3343,10.3912,49.9815,1025.0325151785803,49.70090292603835
32.339,10.3582,50.3179,1025.0433220334746,50.03537356874255
32.3384,10.354,50.7386,1025.0454756280778,50.453659957687115
32.3585,10.2669,51.0185,1025.0771875921403,50.73195366224738
32.3583,10.2664,51.3347,1025.0785497119953,51.04633859357538
32.3631,10.2556,51.6059,1025.0853474146509,51.31598145259504
32.4001,10.153,51.8321,1025.132520109203,51.540882415718265
32.4021,10.1337,52.0395,1025.1382644570529,51.74709112812013
32.4091,10.0698,52.3079,1025.15565546028,52.01394915415982
32.4217,10.0246,52.5269,1025.17402965723,52.23169072898716
32.4327,10.0018,52.6835,1025.1871222801792,52.38739072709473
32.4234,10.0211,53.0896,1025.1784926438245,52.79115626363709
32.4315,9.998,53.5798,1025.1908869370543,53.278537293368686
32.4445,9.9558,54.1817,1025.2107837437334,53.876974391590856
32.4435,9.9612,54.8446,1025.212113844097,54.53605851970333
