Salinity[psu],Temperature[celsius],Pressure[dbar],Depth[m],Density[kg_m3]
34.95,19.91,167.7,166.71099808584387,1025.4800874317073
34.96,19.85,168.2,167.20784710980644,1025.5057591572565
34.93,19.91,168.0,167.009107644279,1025.4661542187378
34.96,19.82,168.0,167.009107644279,1025.5128140170493
34.94,19.88,168.2,167.20784710980644,1025.4825850452246
34.95,19.95,167.6,166.6116281369932,1025.4690532451996
34.96,19.99,167.9,166.90973783948664,1025.4673660453288
34.97,20.04,167.6,166.6116281369932,1025.4603934764305
34.97,20.08,167.6,166.6116281369932,1025.4497503970654
34.97,20.08,167.7,166.71099808584387,1025.4501856513486
34.97,20.05,167.8,166.81036798667495,1025.4586045318342
34.97,20.01,167.4,166.4128880952327,1025.467496394982
34.97,20.02,167.3,166.3135180023225,1025.4644040506882
34.97,20.01,168.0,167.009107644279,1025.470108436409
34.97,19.99,167.8,166.81036798667495,1025.4745493958355
34.96,19.99,167.8,166.81036798667495,1025.4669306759815
34.97,20.01,168.1,167.10847740105226,1025.4705437735363
34.97,19.95,168.0,167.009107644279,1025.4860335336593
34.96,19.92,167.4,166.4128880952327,1025.4837523575156
34.96,19.93,167.9,166.90973783948664,1025.4832801955995
34.97,19.91,167.4,166.4128880952327,1025.4940208726628
34.96,19.93,167.4,166.4128880952327,1025.4811029681932
34.97,19.96,167.5,166.5122581401229,1025.4812044177656
34.97,19.95,167.9,166.90973783948664,1025.4855981213623
34.96,19.97,168.0,167.009107644279,1025.4731094766807
34.96,19.98,167.5,166.5122581401229,1025.4682789472188
34.96,19.96,168.1,167.10847740105226,1025.4761976675447
34.96,19.96,168.0,167.009107644279,1025.4757622628233
34.96,19.95,168.1,167.10847740105226,1025.4788496356998
34.96,19.96,167.8,166.81036798667495,1025.4748914507138
34.96,19.95,168.0,167.009107644279,1025.478414218583
34.96,19.93,167.6,166.6116281369932,1025.4819738618228
34.96,19.97,167.8,166.81036798667495,1025.4722386893507
34.96,19.94,167.8,166.81036798667495,1025.4801944821218
34.96,19.93,167.9,166.90973783948664,1025.4832801955995
34.96,19.94,167.7,166.71099808584387,1025.4797590499368
34.96,19.93,168.0,167.009107644279,1025.4837156384137
34.97,19.91,167.9,166.90973783948664,1025.4961981956667
34.96,19.92,167.8,166.81036798667495,1025.485494190871
34.96,19.92,167.7,166.71099808584387,1025.4850587338658
34.96,19.92,167.6,166.6116281369932,1025.4846232759714
34.96,19.92,167.3,166.3135180023225,1025.4833168969542
34.96,19.92,168.0,167.009107644279,1025.486365102214
34.96,19.92,168.2,167.20784710980644,1025.487236010001
34.96,19.91,168.2,167.20784710980644,1025.489884667715
34.96,19.9,168.2,167.20784710980644,1025.4925324943815
34.97,19.88,168.4,167.40658638325846,1025.5063170134288
34.96,19.9,168.7,167.70469493329753,1025.4947098725042
34.96,19.79,168.7,167.70469493329753,1025.5237817631594
34.95,19.81,169.4,168.40027986942633,1025.5139312072777
34.95,19.82,169.3,168.30091073688914,1025.5108552959105
34.95,19.78,169.1,168.10217232776273,1025.520540356365
34.95,19.81,169.5,168.49964895394635,1025.5143667918085
34.94,19.65,169.6,168.5990179904493,1025.5493111787466
34.94,19.71,170.1,169.09586245271367,1025.5357159686419
34.95,19.67,170.3,169.2945999015051,1025.5547302890486
34.95,19.66,169.8,168.79775591940478,1025.5551794052153
34.93,19.65,170.3,169.2945999015051,1025.5447380491432
34.94,19.66,170.8,169.79144268320778,1025.5519135602965
34.95,19.59,170.5,169.4933371582329,1025.5766022339092
34.94,19.67,171.0,169.99017945978142,1025.5501572045569
34.94,19.58,171.5,170.48702056095686,1025.5759574445678
34.94,19.63,171.7,170.68575666532647,1025.5637143348947
34.93,19.57,172.2,171.1825960860092,1025.5740042181544
34.93,19.56,172.5,171.48069916225887,1025.577931404071
34.94,19.54,172.5,171.48069916225887,1025.5907932360922
34.93,19.46,173.3,172.27563858637123,1025.607569179007
34.92,19.46,173.0,171.9775366624206,1025.5986348111521
34.92,19.47,173.5,172.47437296227963,1025.5982036718185
34.93,19.47,173.4,172.3750057983312,1025.6053938582975
34.93,19.44,173.9,172.87184113796067,1025.6154054359945
34.92,19.43,173.7,172.67310714614234,1025.6095154587078
34.92,19.44,174.2,173.16994176560704,1025.6090869014345
34.92,19.46,175.0,173.96487466021597,1025.6073548437132
34.92,19.42,175.1,174.06424105599874,1025.6182279997022
34.92,19.37,175.5,174.4617061590398,1025.6330000259331
34.92,19.42,175.0,173.96487466021597,1025.6177919566398
34.92,19.34,175.9,174.85917049394337,1025.642551242475
34.92,19.32,176.0,174.9585364576488,1025.6481877539836
34.92,19.33,176.5,175.45536555606049,1025.6477687209776
34.91,19.37,176.6,175.55473123172078,1025.6301696028277
34.92,19.3,176.6,175.55473123172078,1025.6560018820762
34.91,19.33,177.4,176.34965490876064,1025.6440659162351
34.91,19.27,177.3,176.25028961715287,1025.6592158612807
34.92,19.32,177.5,176.44902015236252,1025.654730083355
34.93,19.26,177.5,176.44902015236252,1025.6779414120983
34.9,19.29,177.6,176.54838534795857,1025.6477037967147
34.9,19.33,178.5,177.44266994808638,1025.6412354632944
34.92,19.34,178.6,177.5420346636324,1025.6543266259473
34.9,19.22,178.7,177.64139933117414,1025.670659409999
34.91,19.25,179.3,178.23758632834378,1025.673129243937
34.91,19.2,179.4,178.33695065985984,1025.686523736792
34.9,19.17,180.0,178.9331356408959,1025.6892762097389
34.9,19.16,180.1,179.0324996363931,1025.6922990838857
34.9,19.17,180.8,179.72804626082228,1025.6927668214182
34.9,19.19,180.7,179.62868260133695,1025.6871547323071
34.89,19.12,180.9,179.82740987230648,1025.6984969208397
34.91,19.11,181.3,180.2248638382347,1025.7180872247282
34.9,19.15,181.4,180.32422720971527,1025.7005573252559
34.9,19.16,182.1,181.019769466079,1025.7010257454078
34.9,19.15,182.4,181.3178582845281,1025.7049207133148
34.89,19.11,182.8,181.71530937047643,1025.7093707405961
34.89,19.07,183.0,181.91403462546003,1025.7205653216686
34.89,19.04,182.9,181.8146720219673,1025.7278613575081
34.89,19.06,183.5,182.41084692295573,1025.7253259112827
34.89,19.05,183.8,182.7089337254839,1025.729212854109
34.89,19.05,184.1,183.00702009603972,1025.7305222199184
34.89,19.06,184.4,183.30510603462707,1025.7292538923994
34.89,19.03,184.9,183.80191497235293,1025.7391667955571
34.88,18.97,185.2,184.09999975904282,1025.7482820307753
34.88,18.95,185.2,184.09999975904282,1025.7534212795638
34.88,18.96,185.7,184.59680677696204,1025.7530348982632
34.88,18.95,185.8,184.69616803656263,1025.7560407403228
34.87,18.86,185.9,184.79552924816906,1025.7719282227686
34.87,18.86,186.8,185.68977799291505,1025.7758584518983
34.87,18.86,187.3,186.18658117135604,1025.7780418812733
34.87,18.86,187.3,186.18658117135604,1025.7780418812733
34.86,18.75,187.4,186.28594166306766,1025.7989654778335
34.86,18.8,187.9,186.7827434017507,1025.7883794738912
34.86,18.78,188.3,187.18018392885543,1025.7952372215764
34.86,18.75,188.4,187.27954394065475,1025.803333756843
34.85,18.65,188.9,187.77634327979743,1025.823358171216
34.85,18.49,189.4,188.2731414191963,1025.8661300047534
34.84,18.55,189.1,187.97506267952522,1025.841984740422
34.85,18.63,189.5,188.37250090310835,1025.8310651851032
34.85,18.7,189.8,188.6705790669116,1025.8145624736605
34.85,18.63,190.5,189.3660931028621,1025.8354349117892
34.83,18.45,190.4,189.26673409883279,1025.8653332364859
34.84,18.53,190.6,189.46545205890388,1025.8536093121877
34.84,18.52,191.5,190.3596805038654,1025.8600762126343
34.84,18.43,191.8,190.65775578843116,1025.8841465473638
34.82,18.38,191.7,190.55839740822844,1025.8810397020943
34.83,18.38,192.5,191.35326310625896,1025.8921798887407
34.83,18.41,192.4,191.25390506195305,1025.8841769209334
34.82,18.39,193.3,192.14812573326924,1025.8855154893115
34.81,18.33,193.8,192.64491331568004,1025.8951730447693
34.82,18.32,193.4,192.24748334571797,1025.9035819673766
34.81,18.32,193.3,192.14812573326924,1025.895501959653
34.81,18.27,194.0,192.8436280127634,1025.911129891957
34.81,18.31,194.2,193.04234251791632,1025.9019533197097
34.81,18.29,195.0,193.8371986192473,1025.910480001731
34.81,18.29,194.8,193.63848488180443,1025.9096051941326
34.82,18.29,195.2,194.03591216476545,1025.9189978109953
34.81,18.28,195.5,194.33398212318625,1025.9151796145647
34.81,18.28,195.9,194.73140806268805,1025.916929254672
34.81,18.25,196.5,195.3275455325461,1025.9270867987088
34.81,18.26,196.3,195.12883323451118,1025.923701754074
34.81,18.26,197.1,195.92368127515752,1025.9272011770363
34.82,18.26,197.4,196.22174849875537,1025.9361568031513
34.81,18.25,197.6,196.4204597412646,1025.9318986182882
34.81,18.26,197.8,196.61917079186375,1025.9302631251267
