acceleration,balls,depth,drag,time,velocity
0.4043536495059169,51,10.00404353649506,0.0,0.1,0.04043536495059169
0.4013744364215874,51,10.012100817354334,0.125384057845956,0.2,0.08057280859275043
0.39252443690582645,51,10.024083342582667,0.49784779904578136,0.30000000000000004,0.11982525228333307
0.3781913726991921,51,10.039847781537992,1.101073449821574,0.4,0.15764438955325227
0.3590705786667291,51,10.059202926279983,1.9057969379256452,0.5,0.1935514474199252
0.33609280151972715,51,10.081918999037173,2.8728465773506633,0.6,0.22716072757189792
0.31032821819253115,51,10.107738353976288,3.9571825797890745,0.7,0.258193549391151
0.28288348828472,51,10.13638654379825,5.112229736512356,0.7999999999999999,0.286481898219623
0.2548081996404498,51,10.167582815616617,6.29381477785467,0.8999999999999999,0.311962718183668
0.2270228288951339,51,10.201049315723935,7.463198247310684,0.9999999999999999,0.33466500107318137
0.2002741288258387,51,10.236518557119512,8.58895208292376,1.0999999999999999,0.35469241395576523
0.17511774948593933,51,10.273738976009948,9.647691029439429,1.2,0.37220418890435913
0.15192342979850157,51,10.312478629198369,10.623854143344984,1.3,0.3873965318842093
0.13089586612003043,51,10.352527241047989,11.50882651221946,1.4000000000000001,0.40048611849621235
0.11210415616662422,51,10.393696894459277,12.29970006880246,1.5000000000000002,0.41169653411287477
0.09551385555355316,51,10.435821686426099,12.997924449828645,1.6000000000000003,0.4212479196682301
0.08101741932531771,51,10.478756652586174,13.60802582463861,1.7000000000000004,0.4293496616007619
0.06846054981755303,51,10.522376224244425,14.136498011138826,1.8000000000000005,0.43619571658251716
0.05766340176218892,51,10.5665724299203,14.590910031368589,1.9000000000000006,0.44196205675873607
0.04843659040328749,51,10.611253001500206,14.979232389122524,2.0000000000000004,0.4468057157990648
0.040592534234117794,51,10.656339498422453,15.309359696106824,2.1000000000000005,0.4508649692224766
0.03395293233212942,51,10.701765524668021,15.588795978570783,2.2000000000000006,0.4542602624556895
0.02835323192949312,51,10.747475083232885,15.82446665378943,2.3000000000000007,0.45709558564863884
0.023644874900353604,51,10.793421090546753,16.0226239837254,2.400000000000001,0.4594600731386742
0.01969598799437542,51,10.839564057740564,16.188818025652324,2.500000000000001,0.46142967193811174
0.01639104296846469,51,10.885870935364059,16.32791093595342,2.600000000000001,0.46306877623495823
0.013629882750594608,51,10.93231411181506,16.444117955283588,2.700000000000001,0.4644317645100177
0.01132639915555118,51,10.978870552257618,16.54106305862222,2.800000000000001,0.46556440442557284
0.009407059420407596,51,11.025521063294379,16.621840967944355,2.9000000000000012,0.4665051103676136
0.007909919670307766,51,11.072250673527844,16.688908926730413,3.0000000000000013,0.46729610233464436
0.006564056571286038,51,11.11904592432702,16.745551325875372,3.1000000000000014,0.46795250799177296
0.005445459273123756,51,11.165895629718928,16.792628948176656,3.2000000000000015,0.46849705391908536
0.004516293327651932,51,11.212790498044113,16.83173410559837,3.3000000000000016,0.4689486832518506
0.0037448524305950443,51,11.259722814893603,16.864201199197712,3.4000000000000017,0.46932316849491007
0.00310461984359934,51,11.30668617794153,16.89114622039978,3.5000000000000018,0.46963363047927
0.0025734561048187006,51,11.353675275550506,16.913500937254124,3.600000000000002,0.46989097608975183
0.002132901948321103,51,11.400685702178965,16.932042231978265,3.700000000000002,0.47010426628458396
0.0017675840709300776,51,11.447713804648133,16.947417110033108,3.800000000000002,0.470281024691677
0.001464711261687966,51,11.494756554229918,16.96016390616989,3.900000000000002,0.47042749581784576
0.001213648976459163,51,11.541811440301467,16.97073018901137,4.000000000000002,0.4705488607154917
0.001005561384547414,51,11.588876381986863,16.97948782598555,4.100000000000001,0.4706494168539464
0.0008331110305695128,51,11.635949654782562,16.98674562344638,4.200000000000001,0.4707327279570033
0.0006902074137848729,51,11.683029829652401,16.99275990803971,4.300000000000001,0.4708017486983818
0.0005717969106444179,51,11.730115722491346,16.997743368086063,4.4,0.47085892838944626
0.0004736875108605434,51,11.7772063522054,17.001872429791128,4.5,0.47090629714053234
0.00039240278157103524,51,11.82430090594727,17.005293403353857,4.6,0.47094553741868944
0.0003250603111124016,51,11.871398710292251,17.008127598818387,4.699999999999999,0.47097804344980065
0.0002692706150594041,51,11.918499207343382,17.01047558074486,4.799999999999999,0.4710049705113066
0.00022305311897796734,51,11.965601934925703,17.012420704184553,4.899999999999999,0.47102727582320436
0.0001847663737137761,51,12.01270651017176,17.01403205166023,4.999999999999998,0.47104575246057573
0.004520563055102236,51,12.05985629104837,17.007791336864347,5.099999999999998,0.47149780876608594
0.0037445394299156103,51,12.107043517319276,17.040451300537985,5.1999999999999975,0.4718722627090775
0.0031011684273905913,51,12.154261755274458,17.067528406039877,5.299999999999997,0.4721823795518166
0.00256795206635476,51,12.201505672750303,17.089969510171766,5.399999999999997,0.47243917475845204
0.0021261520326637117,51,12.248770851746475,17.10856323925816,5.4999999999999964,0.4726517899617184
0.0017601791491102796,51,12.296053632534138,17.123965684099343,5.599999999999996,0.4728278078766294
0.00145707630285043,51,12.343350984084829,17.136722161643235,5.699999999999996,0.47297351550691447
0.0012060823876034385,51,12.390660396459396,17.1472855670451,5.799999999999995,0.47309412374567483
0.00099826583141008,51,12.437979791492277,17.156031797128524,5.899999999999995,0.47319395032881584
0.0008262174648128435,51,12.485307448699807,17.163272676427557,5.999999999999995,0.4732765720752971
0.0006837937057313822,51,12.532641943844395,17.169266765585274,6.099999999999994,0.47334495144587024
0.0005659022163405457,51,12.579982098011145,17.17422838226287,6.199999999999994,0.4734015416675043
0.00046832327980165936,51,12.627326935410693,17.178335118732274,6.299999999999994,0.47344837399548445
