Depth[m],Density[kg_m3]
2.5857006368877,1026.64455976206
3.58019219627225,1026.65293097053
5.07192048832874,1026.66003870194
6.26529530563089,1026.66540638255
6.96142740726981,1026.66873648301
7.5581101842137,1026.67297121079
8.85091690933155,1026.67938299329
9.94482392396695,1026.68352757163
10.7403889954838,1026.68633025772
11.6353960105203,1026.69133013784
12.5303991181526,1026.69690634887
13.5248424328892,1026.70040424857
15.0164983606248,1026.7086636109
16.2098152887606,1026.71150478048
17.2042407565607,1026.71577768754
17.9997776581158,1026.7201306898
18.9941944443221,1026.72402637496
19.6902833250268,1026.72715665987
20.8835730511146,1026.73272198509
22.1762957509253,1026.73931052254
22.9718133614633,1026.74268849196
23.3695710093651,1026.74447708068
24.4634005627347,1026.74862024552
26.0544149518807,1026.75054604237
27.1482301838528,1026.7632179965
28.0431655795183,1026.76724195325
28.8386604302915,1026.7700433887
29.7335884489592,1026.7765926297
30.4296408746096,1026.77874747906
31.3245619505562,1026.78374589938
32.8160883991014,1026.78890121675
33.7109990615768,1026.79545012384
34.407037988283,1026.79780413542
35.6996754424101,1026.8036156405
36.5945735229182,1026.8070630702
38.18549380307,1026.81576597689
39.0803810379127,1026.81901374314
40.0746956086897,1026.82523383346
40.9695746013581,1026.82828191278
41.7650193173827,1026.83185776089
42.7593208747151,1026.83632748754
43.3558994957297,1026.83978454412
44.9467673362892,1026.84693581449
46.0404818200937,1026.85030168013
47.2336182430292,1026.85663976544
48.4267477267523,1026.85270005388
49.8187233543614,1026.86941061292
50.8129858775374,1026.87000348631
51.7078180286691,1026.87384945422
52.6026462770085,1026.88139527454
53.4974706226586,1026.88621593502
54.3922910657222,1026.89548819797
55.585378919295,1026.89735050586
56.3807669674926,1026.89049520946
57.4744204993886,1026.91295700185
58.8663347458462,1026.91985695779
59.8605534268843,1026.92724990158
60.854767290818,1026.93484215886
61.6501349137445,1026.92756367378
62.6443401072459,1026.93694957798
63.2408609113172,1026.94239857573
64.5333167049812,1026.93203244031
65.4280890246071,1026.95190111145
66.1240203538417,1026.96546035079
67.4164579899484,1026.9791683613
69.1065564640242,1026.99689341543
69.2059735878947,1026.99586157686
70.6972246670983,1027.01189728881
71.8902177292212,1027.04048798813
73.0832038571727,1027.0384014006
75.0714986618176,1027.12859827784
77.0597742066814,1027.15786526917
78.2527302893741,1027.15520082169
79.6445036234873,1027.20402938329
80.3403867520119,1027.22097534956
81.235090165328,1027.22004364226
82.5274326560238,1027.25097324189
83.0244852938713,1027.24941707002
85.3109119277526,1027.33260894328
86.5038200630741,1027.38948348016
87.1002715315252,1027.40425685303
88.0943534617012,1027.44240637133
89.5854673324516,1027.43469425429
90.8777572609657,1027.45342142592
91.7724147545736,1027.46612499978
92.5676625874482,1027.48267589975
92.9652853488899,1027.51444429395
93.9593388838292,1027.51164549984
98.3331172697468,1027.59439320594
99.0289370602277,1027.61591698272
100.420569568264,1027.6321860348
101.215783910273,1027.63624348899
102.905604163255,1027.64664146736
103.899609581884,1027.64769858869
107.676786298869,1027.69504571161
112.050272561922,1027.77668410868
113.143629577874,1027.78695874848
114.435771275668,1027.79114865174
115.230931357504,1027.78067754837
116.324271444378,1027.78556754621
117.119424216273,1027.80774463076
118.312147603361,1027.82499481839
119.007899714619,1027.83247405691
119.902434681113,1027.84449217942
121.293925776094,1027.85207719626
121.890276217459,1027.86450502685
126.263459898068,1027.87919257092
126.959185083409,1027.88171133778
127.953074118888,1027.8859589389
129.04634650532,1027.88848423467
130.437775675318,1027.89878573
131.133486727078,1027.90290034713
132.027968904026,1027.91858568925
133.220605749987,1027.91592329731
133.916307380327,1027.91752397913
134.810777444303,1027.92097958651
136.400936834046,1027.93184467254
136.897859120032,1027.93427393238
138.488002360896,1027.9373255773
139.283069367577,1027.94240115257
140.177516073629,1027.94870984059
141.171341181595,1027.96406495942
142.363924967811,1027.96425524171
142.860832836424,1027.96512165513
143.755263972578,1027.96796525041
144.947832766241,1027.9720618302
145.842254820713,1027.96454207527
147.23357028069,1027.99014612491
147.829845452114,1028.00734963494
148.624876323426,1028.00378415089
150.513062319336,1028.012603818
151.30808281318,1028.01845814843
152.003723223118,1028.02229739816
153.096867682755,1028.03174565666
154.587509851086,1028.03936930905
155.978766123397,1028.04637207977
157.370012980895,1028.05476902669
158.065632879209,1028.05871435277
158.562502794192,1028.06114293842
160.053105334543,1028.06792234343
160.848088937367,1028.07170672042
161.941186372352,1028.07667808709
163.233021303426,1028.08411614308
163.928621366116,1028.09509431847
165.31981443209,1028.09299372879
166.313518002323,1028.09829420197
167.207847109806,1028.10219232813
167.804064353941,1028.10802940788
168.599017990449,1028.10868756387
169.592705714573,1028.11181232543
170.78512464549,1028.11662219359
171.878169258413,1028.1234933481
172.47437296228,1028.12755576988
174.064241055999,1028.12625257442
175.157268241036,1028.12822232219
176.150924277539,1028.13520955673
176.846480646714,1028.14223478973
177.740763950712,1028.13905390562
178.734407505894,1028.15927731761
179.52931889385,1028.16233968197
181.019769466079,1028.16572629959
181.814672021967,1028.17442665525
182.708933725484,1028.17899857056
183.503829753705,1028.18451353518
184.795529248169,1028.18559021725
185.689777992915,1028.19362429815
186.882103605513,1028.20273651763
187.776343279797,1028.20624867775
188.471860339031,1028.20678978147
189.564810966958,1028.2112054762
190.558397408228,1028.21874131269
191.651336951269,1028.22108998141
192.446198426665,1028.23458833364
